RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
4210012949,1,1,2000,1000,600,600,1000,969,27,4,0,0,0.216667
4210012949,1,1,4000,1000,600,600,1000,964,32,4,0,0,0.216667
4210012949,1,1,6000,1000,600,600,1000,855,40,10,95,0,0.216667
4210012949,1,1,8000,1000,600,600,999,626,132,26,215,0,0.216667
4210012949,1,1,10000,1000,600,600,997,419,180,22,376,0,0.2
4210012949,1,2,2000,1000,600,600,1000,934,50,16,0,0,0.216667
4210012949,1,2,4000,1000,600,600,1000,934,50,16,0,0,0.2
4210012949,1,2,6000,1000,600,600,1000,934,50,16,0,0,0.216667
4210012949,1,2,8000,1000,600,600,1000,930,50,16,4,0,0.216667
4210012949,1,2,10000,1000,600,600,1000,238,2,0,760,0,0.2
4210012949,1,3,2000,1000,600,600,1000,954,46,0,0,0,0.216667
4210012949,1,3,4000,1000,600,600,1000,954,46,0,0,0,0.216667
4210012949,1,3,6000,1000,600,600,1000,466,14,0,520,0,0.216667
4210012949,1,3,8000,1000,600,600,1000,278,4,0,718,0,0.216667
4210012949,1,3,10000,1000,600,600,1000,179,0,0,821,0,0.216667
4210012949,1,4,2000,1000,600,600,1000,954,46,0,0,0,0.216667
4210012949,1,4,4000,1000,600,600,1000,967,32,1,0,0,0.216667
4210012949,1,4,6000,1000,600,600,1000,942,45,13,0,0,0.2
4210012949,1,4,8000,1000,600,600,999,761,196,42,0,0,0.216667
4210012949,1,4,10000,1000,600,600,999,569,205,35,190,0,0.2
4210012949,1,5,2000,1000,600,600,1000,969,27,4,0,0,0.2
4210012949,1,5,4000,1000,600,600,1000,967,28,5,0,0,0.216667
4210012949,1,5,6000,1000,600,600,1000,846,64,13,77,0,0.2
4210012949,1,5,8000,1000,600,600,997,605,183,40,169,0,0.216667
4210012949,1,5,10000,1000,600,600,997,416,223,31,327,0,0.2
3369247484,1,1,2000,1000,600,600,1000,968,31,1,0,0,0.2
3369247484,1,1,4000,1000,600,600,1000,962,37,1,0,0,0.216667
3369247484,1,1,6000,1000,600,600,1000,851,44,7,98,0,0.2
3369247484,1,1,8000,1000,600,600,1000,625,112,24,239,0,0.2
