RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
2761751998,1,2,3000,5000,600,600,4996,2884,1124,988,0,0,4.76667
2761751998,1,2,3000,6000,600,600,5999,3248,1274,1477,0,0,7.18333
2761751998,1,3,3000,3000,600,600,2999,2742,199,58,0,0,1.58333
2761751998,1,3,3000,1000,600,600,1000,978,17,5,0,0,0.0833333
2761751998,1,3,3000,2000,600,600,1998,1867,117,14,0,0,0.533333
2761751998,1,3,3000,4000,600,600,4000,3470,408,122,0,0,2.76667
2761751998,1,3,3000,5000,600,600,4997,4135,637,225,0,0,4.73333
2761751998,1,3,3000,6000,600,600,5999,4859,740,400,0,0,7.33333
2761751998,1,4,3000,3000,600,600,2999,2666,324,9,0,0,1.3
2761751998,1,4,3000,1000,600,600,1000,960,39,1,0,0,0.0833333
2761751998,1,4,3000,2000,600,600,1999,1819,179,1,0,0,0.516667
2761751998,1,4,3000,4000,600,600,4000,3342,646,12,0,0,2.78333
2761751998,1,4,3000,5000,600,600,4999,4073,903,23,0,0,4.81667
2761751998,1,4,3000,6000,600,600,5999,4721,1222,56,0,0,7.1
2761751998,1,5,3000,3000,600,600,2999,2749,190,60,0,0,1.4
2761751998,1,5,3000,1000,600,600,1000,977,18,5,0,0,0.0833333
2761751998,1,5,3000,2000,600,600,1998,1866,118,14,0,0,0.516667
2761751998,1,5,3000,4000,600,600,4000,3492,388,120,0,0,2.83333
2761751998,1,5,3000,5000,600,600,4997,4153,615,229,0,0,4.71667
2761751998,1,5,3000,6000,600,600,5999,4851,744,404,0,0,7.11667
308154789,1,1,3000,3000,600,600,3000,2625,368,7,0,0,1.45
308154789,1,1,3000,1000,600,600,1000,966,34,0,0,0,0.0833333
308154789,1,1,3000,2000,600,600,2000,1829,169,2,0,0,0.5
