RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
2574083077,1,1,2000,1000,600,600,999,977,20,2,0,0,0.216667
2574083077,1,1,2000,2000,600,600,2000,1876,105,19,0,0,1.06667
2574083077,1,1,2000,3000,600,600,2999,2683,256,60,0,0,2.46667
2574083077,1,1,2000,4000,600,600,4000,3457,417,126,0,0,4.33333
2574083077,1,1,2000,5000,600,600,5000,4197,584,219,0,0,6.86667
2574083077,1,1,2000,6000,600,600,5997,4814,811,372,0,0,9.3
2574083077,1,2,2000,1000,600,600,999,942,46,11,0,0,0.25
2574083077,1,2,2000,2000,600,600,2000,1655,264,81,0,0,1.06667
2574083077,1,2,2000,3000,600,600,2998,2196,504,298,0,0,2.4
2574083077,1,2,2000,4000,600,600,3999,2601,813,585,0,0,4.33333
2574083077,1,2,2000,5000,600,600,4997,2926,1072,999,0,0,6.93333
2574083077,1,2,2000,6000,600,600,5994,3145,1330,1519,0,0,10.0167
2574083077,1,3,2000,1000,600,600,999,954,45,0,0,0,0.266667
2574083077,1,3,2000,2000,600,600,2000,1821,175,4,0,0,1.06667
2574083077,1,3,2000,3000,600,600,2999,2585,408,6,0,0,2.4
2574083077,1,3,2000,4000,600,600,4000,3317,674,9,0,0,4.33333
2574083077,1,3,2000,5000,600,600,5000,3985,988,27,0,0,6.85
2574083077,1,3,2000,6000,600,600,6000,4552,1406,42,0,0,10.2333
2574083077,1,4,2000,1000,600,600,999,954,45,0,0,0,0.266667
2574083077,1,4,2000,2000,600,600,2000,1821,175,4,0,0,1.03333
2574083077,1,4,2000,3000,600,600,2999,2585,408,6,0,0,2.4
2574083077,1,4,2000,4000,600,600,4000,3317,674,9,0,0,4.31667
2574083077,1,4,2000,5000,600,600,5000,3985,988,27,0,0,6.83333
2574083077,1,4,2000,6000,600,600,6000,4552,1406,42,0,0,10.0833
2574083077,1,5,2000,1000,600,600,999,977,20,2,0,0,0.25
2574083077,1,5,2000,2000,600,600,2000,1876,105,19,0,0,1.06667
2574083077,1,5,2000,3000,600,600,2999,2683,256,60,0,0,2.38333
2574083077,1,5,2000,4000,600,600,4000,3457,417,126,0,0,4.33333
2574083077,1,5,2000,5000,600,600,5000,4197,584,219,0,0,6.85
2574083077,1,5,2000,6000,600,600,5997,4814,811,372,0,0,10.1167
212794245,1,1,2000,1000,600,600,1000,966,32,2,0,0,0.266667
212794245,1,1,2000,2000,600,600,1998,1849,133,16,0,0,1.03333
212794245,1,1,2000,3000,600,600,3000,2690,249,61,0,0,2.38333
212794245,1,1,2000,4000,600,600,4000,3492,391,117,0,0,4.26667
212794245,1,1,2000,5000,600,600,4999,4139,637,223,0,0,6.98333
212794245,1,1,2000,6000,600,600,5998,4736,866,396,0,0,10.4
212794245,1,2,2000,1000,600,600,998,912,79,7,0,0,0.25
212794245,1,2,2000,2000,600,600,1996,1688,233,75,0,0,1.06667
212794245,1,2,2000,3000,600,600,2998,2223,484,291,0,0,2.41667
212794245,1,2,2000,4000,600,600,3997,2616,785,596,0,0,4.35
212794245,1,2,2000,5000,600,600,4996,2947,1042,1007,0,0,6.83333
212794245,1,2,2000,6000,600,600,5996,3164,1352,1480,0,0,10.05
212794245,1,3,2000,1000,600,600,1000,939,61,0,0,0,0.266667
212794245,1,3,2000,2000,600,600,2000,1816,180,4,0,0,1.06667
212794245,1,3,2000,3000,600,600,3000,2612,383,5,0,0,2.41667
212794245,1,3,2000,4000,600,600,4000,3332,661,7,0,0,4.3
212794245,1,3,2000,5000,600,600,5000,3929,1043,28,0,0,6.85
212794245,1,3,2000,6000,600,600,5999,4487,1468,44,0,0,9.93333
212794245,1,4,2000,1000,600,600,1000,939,61,0,0,0,0.25
212794245,1,4,2000,2000,600,600,2000,1816,180,4,0,0,1.03333
212794245,1,4,2000,3000,600,600,3000,2612,383,5,0,0,2.3
212794245,1,4,2000,4000,600,600,4000,3332,661,7,0,0,4.13333
212794245,1,4,2000,5000,600,600,5000,3929,1043,28,0,0,6.7
