RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
1920257470,1,2,2000,6000,600,600,5994,3164,1305,1525,0,0,8.9
1920257470,1,3,2000,1000,600,600,1000,949,51,0,0,0,0.216667
1920257470,1,3,2000,2000,600,600,2000,1822,176,2,0,0,0.933333
1920257470,1,3,2000,3000,600,600,3000,2617,374,9,0,0,2.11667
1920257470,1,3,2000,4000,600,600,4000,3294,684,22,0,0,3.81667
1920257470,1,3,2000,5000,600,600,5000,3906,1064,30,0,0,6.05
1920257470,1,3,2000,6000,600,600,5998,4551,1401,46,0,0,8.83333
1920257470,1,4,2000,1000,600,600,1000,949,51,0,0,0,0.2
1920257470,1,4,2000,2000,600,600,2000,1822,176,2,0,0,0.9
1920257470,1,4,2000,3000,600,600,3000,2617,374,9,0,0,2.08333
1920257470,1,4,2000,4000,600,600,4000,3294,684,22,0,0,3.86667
1920257470,1,4,2000,5000,600,600,5000,3906,1064,30,0,0,6.06667
1920257470,1,4,2000,6000,600,600,5998,4551,1401,46,0,0,8.88333
1920257470,1,5,2000,1000,600,600,999,972,21,6,0,0,0.216667
1920257470,1,5,2000,2000,600,600,1998,1873,114,11,0,0,0.9
1920257470,1,5,2000,3000,600,600,2999,2701,244,54,0,0,2.15
1920257470,1,5,2000,4000,600,600,3997,3438,417,142,0,0,3.83333
1920257470,1,5,2000,5000,600,600,4997,4141,605,251,0,0,6.1
1920257470,1,5,2000,6000,600,600,5998,4763,842,393,0,0,9
764697355,1,1,2000,1000,600,600,999,976,23,0,0,0,0.2
764697355,1,1,2000,2000,600,600,1999,1881,93,25,0,0,0.916667
764697355,1,1,2000,3000,600,600,2999,2709,237,53,0,0,2.11667
764697355,1,1,2000,4000,600,600,4000,3484,385,131,0,0,3.8
764697355,1,1,2000,5000,600,600,4997,4136,633,228,0,0,6.06667
764697355,1,1,2000,6000,600,600,5997,4830,811,356,0,0,8.9
