RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration,targetRealocation
172140562,1,1,6000,6000,600,600,5999,2488,492,11,3008,0,21.7667,0
172140562,1,1,2000,6000,600,600,5998,4485,1460,53,0,0,21.5833,0
172140562,1,1,3000,6000,600,600,5998,4485,1460,53,0,0,22,0
172140562,1,1,4000,6000,600,600,5998,4485,1460,53,0,0,21.65,0
172140562,1,1,8000,6000,600,600,5999,1503,171,3,4322,0,21.5,0
172140562,1,1,10000,6000,600,600,5999,967,77,1,4954,0,21.7667,0
172140562,1,2,6000,6000,600,600,5992,122,2238,3632,0,0,21.8167,0
172140562,1,2,2000,6000,600,600,5992,122,2238,3632,0,0,21.7167,0
172140562,1,2,3000,6000,600,600,5992,122,2238,3632,0,0,22.1,0
172140562,1,2,4000,6000,600,600,5992,122,2238,3632,0,0,21.8,0
172140562,1,2,8000,6000,600,600,5992,122,2238,3632,0,0,22.0667,0
172140562,1,2,10000,6000,600,600,5992,146,2118,3266,462,0,22.0333,0
172140562,1,3,6000,6000,600,600,5993,3168,1325,1500,0,0,21.85,0
172140562,1,3,2000,6000,600,600,5993,3169,1324,1500,0,0,21.65,0
172140562,1,3,3000,6000,600,600,5993,3168,1325,1500,0,0,21.8,0
172140562,1,3,4000,6000,600,600,5993,3168,1325,1500,0,0,21.9333,0
172140562,1,3,8000,6000,600,600,5993,3168,1325,1500,0,0,21.7667,0
172140562,1,3,10000,6000,600,600,5999,1337,97,3,4562,0,20.0167,0
172140562,1,4,6000,6000,600,600,5996,3703,652,317,1324,0,18,0
172140562,1,4,2000,6000,600,600,5996,4752,868,376,0,0,17.8667,0
172140562,1,4,3000,6000,600,600,5996,4752,868,376,0,0,17.7167,0
172140562,1,4,4000,6000,600,600,5996,4752,868,376,0,0,17.8167,0
172140562,1,4,8000,6000,600,600,5998,1892,302,169,3635,0,17.5167,0
172140562,1,4,10000,6000,600,600,5999,967,77,1,4954,0,18,0
172140562,1,5,6000,6000,600,600,5992,902,2084,3006,0,0,18.1,0
172140562,1,5,2000,6000,600,600,5992,902,2084,3006,0,0,18.0833,0
172140562,1,5,3000,6000,600,600,5992,902,2084,3006,0,0,18.1,0
172140562,1,5,4000,6000,600,600,5992,902,2084,3006,0,0,18.1833,0
172140562,1,5,8000,6000,600,600,5992,902,2084,3006,0,0,18,0
172140562,1,5,10000,6000,600,600,5992,1077,1872,2387,656,0,18.0167,0
172140562,1,6,6000,6000,600,600,5992,3479,1311,1202,0,0,18.2,0
172140562,1,6,2000,6000,600,600,5998,4485,1460,53,0,0,17.9667,0
172140562,1,6,3000,6000,600,600,5998,4596,1344,58,0,0,17.8833,0
172140562,1,6,4000,6000,600,600,5997,4868,994,135,0,0,17.8833,0
172140562,1,6,8000,6000,600,600,5992,1529,1885,2578,0,0,18.15,0
172140562,1,6,10000,6000,600,600,5992,1085,1792,2477,638,0,18.4,0
172140562,1,7,6000,6000,600,600,5993,3000,1185,1492,316,0,17.9833,0
172140562,1,7,2000,6000,600,600,5996,4752,868,376,0,0,18.1333,0
172140562,1,7,3000,6000,600,600,5996,4764,853,379,0,0,17.7167,0
172140562,1,7,4000,6000,600,600,5996,4684,810,502,0,0,17.8167,0
172140562,1,7,8000,6000,600,600,5992,1067,1712,2620,593,0,17.9,0
172140562,1,7,10000,6000,600,600,5993,593,1736,2595,1069,0,17.9667,0
172140562,1,8,6000,6000,600,600,5992,772,2079,3141,0,0,18.1,0
172140562,1,8,2000,6000,600,600,5992,902,2084,3006,0,0,17.9667,0
172140562,1,8,3000,6000,600,600,5992,901,2085,3006,0,0,18.0833,0
172140562,1,8,4000,6000,600,600,5992,890,2085,3017,0,0,18.1167,0
172140562,1,8,8000,6000,600,600,5992,529,2087,3376,0,0,18.0167,0
172140562,1,8,10000,6000,600,600,5992,496,1931,3038,527,0,18.0667,0
172140562,1,9,6000,6000,600,600,5995,2745,1114,1510,626,0,17.8833,0
172140562,1,9,2000,6000,600,600,5994,3213,1194,1587,0,0,17.8667,0
172140562,1,9,3000,6000,600,600,5994,3213,1194,1587,0,0,17.9667,0
172140562,1,9,4000,6000,600,600,5994,3213,1194,1587,0,0,18.2833,0
172140562,1,9,8000,6000,600,600,5994,2084,916,1323,1671,0,18.9,0
